time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.457207120395216e-08,-6.124995221910213e-08,10.002185212536883,6.283082754683701,8.913198321103266e-05,0.0,-7.003777466449331e-06,-6.830805159417658e-06,0.07283790877654188,-0.005368019248468768,0.004302553672170664,0.0,428.07051296164116,428.4363856493908,428.3657311974333,427.9091304832252
0.12000000000000001,-3.4402517504918123e-06,-3.685845156863702e-06,10.008428738628295,6.282685972398095,0.0006199420238122144,0.0,-0.00014445955932519775,-0.000148535051968765,0.13527370337299852,-0.009227268004388674,0.01666245236541723,0.0,424.1411789981918,425.20107202747874,425.143615385569,424.8129854847735
0.18,-3.440090580695919e-05,-2.8861295583074818e-05,10.025854723724816,6.281770342738993,0.0020092695775382197,0.0,-0.0010497861403165698,-0.0007829465377334804,0.44552303862723824,-0.031436746390573866,0.033716641710840996,0.0,499.29069911277014,500.5331456280962,499.3350453039263,497.71257985245614
0.23999999999999996,-0.00014388393384448612,-0.00010964769418925183,10.054320442317586,6.280261856362369,0.004303150180083648,0.0,-0.002807482531540699,-0.0020702260450179795,0.5033092502084445,-0.014846132718636202,0.04600114152869302,0.0,423.22497310884836,424.28158472237686,422.5644796217938,423.99183233291393
0.3,-0.00043577425835210885,-0.0003124805363400739,10.092284031243869,6.2792122999387825,0.007710423569871061,0.0,-0.007315898165652479,-0.004811433829835333,0.762004681166189,-0.02339411732503494,0.0725020175204579,0.0,484.46828290073324,486.458263621782,484.7583158898944,484.1157494193635
0.36000000000000004,-0.0010392810651027107,-0.0006829843524460765,10.139676871363895,6.2774186333424105,0.011931715159395395,0.0,-0.01321010217864116,-0.00768632579915134,0.8177136496538202,-0.04789398117586316,0.06567453448091683,0.0,423.94932521296755,423.36640096644936,423.86151369174127,421.75055429601287
0.4200000000000001,-0.0020781984382555485,-0.0012662136565204146,10.190533376354534,6.274973181897703,0.01588321310305041,0.0,-0.02179891942828687,-0.012007019012639387,0.8774520537249796,-0.02935287516022421,0.06622313819030187,0.0,424.7583939961381,424.80886858752973,423.72694071304716,425.3166303799597
0.48000000000000015,-0.003757512093975142,-0.0021774472177565787,10.247858620127548,6.272969928420805,0.01998624895365353,0.0,-0.0346217187725454,-0.018572096797582757,1.0332514884444182,-0.04300913692555962,0.0723868106093032,0.0,455.7414577558545,456.23716912146426,454.75312414890635,453.65759163272116
0.5400000000000001,-0.006201240399235672,-0.003480306458364692,10.30981901702411,6.270226061339509,0.024221451060692623,0.0,-0.04720948995202747,-0.02508759791863936,1.0320851708673449,-0.0518201275600035,0.06672102207286275,0.0,405.3377287851198,404.8326307990521,404.697796832714,403.90255398358823
0.6000000000000002,-0.009503403044740455,-0.005239920718794875,10.372871119893887,6.266921181357944,0.02868701092966841,0.0,-0.0632576598402083,-0.033862185904415386,1.0696020557534143,-0.06256249105204874,0.08655143079343577,0.0,417.6546893101289,419.3850529546322,417.5267138995776,416.5862553641404
0.6600000000000003,-0.013881874276203444,-0.0076048106043377,10.439037660151625,6.2627191710343055,0.03405655059993418,0.0,-0.08320257836667096,-0.04534483738144503,1.1358621243997273,-0.0923670939014087,0.09480285132246724,0.0,426.6906532826112,427.40143178660463,428.9487783762788,426.4061366115637
0.7200000000000003,-0.01956611213596108,-0.01074857778908548,10.509227005282812,6.25748049468805,0.03979731198614189,0.0,-0.10682564476680437,-0.05996812646027311,1.20368012592379,-0.07875092390429146,0.09737588637658041,0.0,427.3819199114168,427.60933738581684,428.07840744079255,429.22864668413615
0.7800000000000004,-0.027069217011718046,-0.015056735097075778,10.590514420422158,6.253075986141507,0.04528773051610546,0.0,-0.14401643134496975,-0.08422672579679862,1.5055017688277965,-0.06443645109841961,0.07595565572225597,0.0,499.50804994708636,497.9495856703006,497.88317624823844,498.9256222087605
0.8400000000000004,-0.03684310902842625,-0.02086675466713963,10.687712626459879,6.2489358871899725,0.04959942043835497,0.0,-0.18230456006347956,-0.10991196512537572,1.7340750628539374,-0.08019632028850389,0.062071830582115496,0.0,479.19482323830766,478.141883293332,478.9732223066595,477.76992144828836
0.9000000000000005,-0.04874816518437709,-0.028135628353793407,10.7932706354778,6.243843312892018,0.0540053230888482,0.0,-0.21491845143849406,-0.13284708400391354,1.784406035726027,-0.09642299150413895,0.08975504784751778,0.0,422.8858386436961,425.2678137869143,425.1999027311209,423.80113871039055
0.9600000000000005,-0.06319639897521695,-0.03724451169952425,10.910833171058758,6.2384326156904315,0.05999234393637032,0.0,-0.2674550006959067,-0.1715309986024782,2.1336739235174833,-0.07995626218171649,0.11465952893507027,0.0,513.3908013242074,515.1615350796048,512.0813501890566,513.2455323293208
1.0200000000000005,-0.08062328351042825,-0.0485619416232693,11.043643075913435,6.23338623649612,0.06716945187934797,0.0,-0.31420365492716934,-0.20624363566363413,2.2929309724266287,-0.09405720042139784,0.12803651354073384,0.0,460.48020994427293,461.5493565000283,460.3084578697213,459.18563187074403
1.0800000000000005,-0.1011034564015602,-0.06214042793650299,11.187209968917948,6.227626990220248,0.07496522708183928,0.0,-0.36934482663608437,-0.2470127154273268,2.49210465479919,-0.1001546483297891,0.13346621106049086,0.0,472.40881849084565,472.8416320916091,473.9510761880163,473.47497200445684
